8.71	2.43	3.0
8.42	0.81	3.0
9.42	1.13	3.0
8.61	1.63	3.0
8.74	0.84	3.0
9.94	1.71	3.0
9.75	1.12	3.0
8.71	1.77	3.0
8.32	1.44	3.0
8.66	0.52	3.0
8.49	1.42	3.0
8.02	1.19	3.0
9.61	0.68	3.0
9.08	1.78	3.0
9.18	1.27	3.0
9.88	1.65	3.0
9.01	2.05	3.0
9.9	0.88	3.0
8.2	1.0	3.0
8.89	1.55	3.0
8.99	1.67	3.0
9.66	1.86	3.0
8.74	0.71	3.0
8.37	0.93	3.0
9.93	0.65	3.0
9.58	2.47	3.0
9.84	0.89	3.0
8.3	1.51	3.0
9.49	2.06	3.0
8.53	2.12	3.0
9.73	2.36	3.0
9.42	2.02	3.0
8.29	0.56	3.0
8.85	1.92	3.0
9.25	1.9	3.0
8.9	2.44	3.0
8.3	2.04	3.0
8.56	2.09	3.0
8.63	2.29	3.0
8.91	2.23	3.0
9.45	2.31	3.0
9.87	2.17	3.0
8.39	1.1	3.0
8.54	1.71	3.0
8.16	1.51	3.0
8.69	1.01	3.0
8.8	2.12	3.0
9.88	1.99	3.0
9.79	2.35	3.0
8.34	1.23	3.0
6.01	4.58	1.0
7.08	3.58	1.0
8.98	4.48	1.0
6.79	3.49	1.0
5.57	3.8	1.0
6.7	4.93	1.0
5.3	3.79	1.0
6.4	3.81	1.0
5.56	4.13	1.0
6.85	3.61	1.0
8.48	4.26	1.0
5.59	4.04	1.0
7.44	4.46	1.0
7.9	3.6	1.0
8.93	3.89	1.0
8.08	3.37	1.0
8.39	3.41	1.0
6.62	4.4	1.0
5.51	3.58	1.0
5.12	3.45	1.0
5.73	3.67	1.0
5.3	4.68	1.0
5.57	3.86	1.0
6.81	4.05	1.0
8.0	4.29	1.0
5.17	3.31	1.0
8.42	4.19	1.0
5.45	3.76	1.0
5.66	3.53	1.0
6.71	3.71	1.0
7.94	3.85	1.0
8.7	3.61	1.0
7.86	4.15	1.0
6.81	3.09	1.0
5.05	4.96	1.0
5.93	4.89	1.0
8.6	4.29	1.0
8.64	3.23	1.0
7.06	3.96	1.0
7.77	3.85	1.0
7.36	4.49	1.0
7.22	3.14	1.0
5.94	3.09	1.0
5.06	3.31	1.0
6.71	3.54	1.0
7.22	4.63	1.0
6.77	4.25	1.0
5.37	3.59	1.0
5.94	3.56	1.0
8.43	3.26	1.0
5.76	0.95	2.0
5.95	1.42	2.0
5.97	1.52	2.0
4.29	1.47	2.0
5.62	2.0	2.0
5.56	1.43	2.0
5.34	2.46	2.0
5.83	1.45	2.0
4.15	2.25	2.0
5.5	1.05	2.0
5.59	1.66	2.0
4.36	2.45	2.0
5.18	0.85	2.0
5.6	0.63	2.0
5.8	2.11	2.0
4.7	1.62	2.0
4.34	1.86	2.0
4.9	0.75	2.0
4.84	1.16	2.0
5.23	0.59	2.0
4.33	2.01	2.0
5.09	2.44	2.0
5.42	1.76	2.0
5.72	1.88	2.0
4.15	1.8	2.0
5.84	1.66	2.0
4.4	0.69	2.0
5.95	1.57	2.0
5.46	2.07	2.0
5.55	0.65	2.0
5.93	1.37	2.0
5.45	2.2	2.0
5.11	1.62	2.0
4.42	2.36	2.0
5.03	0.74	2.0
4.76	0.62	2.0
5.9	0.81	2.0
4.39	2.48	2.0
5.0	1.62	2.0
4.77	2.13	2.0
5.4	2.26	2.0
5.6	1.98	2.0
5.24	1.2	2.0
5.04	0.89	2.0
4.27	0.95	2.0
4.01	0.72	2.0
5.78	2.01	2.0
5.85	2.4	2.0
5.69	0.86	2.0
4.02	2.1	2.0
